- advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | reliability=HIGH | cat=ch-eu,gov,active-breaking,vulns | fetch=rss | notes: Dutch NCSC machine-readable advisory feed (added 2026-05-08). Returns CSAF/CVRF-style Cisco/Ivanti/Apache/MOVEit/PAN-OS advisories with publication and last-upd
- anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | reliability=HIGH | cat=ch-eu,gov,active-breaking | fetch=webfetch | notes: French national cybersecurity agency. WebFetch on the root works; for machine-readable lists prefer the RSS feeds at https://www.cert.ssi.gouv.fr/avis/feed/ (ad
- bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | reliability=HIGH | cat=ch-eu,gov,active-breaking,vulns | fetch=rss | notes: Federal Office for Information Security (Germany), CERT-Bund's WID advisory portal. The /portal/wid/kurzinformationen page is a JS-rendered SPA (WebFetch return
- cert-at | CERT.at (Austria) | https://www.cert.at/en/ | reliability=HIGH | cat=ch-eu,gov | fetch=webfetch | notes: Austrian national CERT; DACH region coverage. Confirmed working sub-paths (2026-05-08): /en/news/ (blog cadence is sparse, ~monthly). Confirmed BROKEN sub-paths
- cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | reliability=HIGH | cat=ch-eu,gov,active-breaking | fetch=webfetch | notes: Computer Emergency Response Team for EU institutions. URL CORRECTED 2026-05-08: /publications root is a navigation page only — sub-agents repeatedly returned a 
- cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | reliability=HIGH | cat=ch-eu,gov,active-breaking | fetch=webfetch | notes: Polish CERT — strong on Russia-adjacent threats and OT incidents. 2026-05-08 audit: WebFetch returned 5 dated posts incl. 'Annual report 2025' 2026-04-08.
- cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories | reliability=HIGH | cat=active-breaking,gov | fetch=bridge | notes: US government joint advisories often co-signed with allied CERTs (UK NCSC, ACSC AU, NCSC-NZ, CCCS CA, BSI DE, CERT-EU). WebFetch is reliably HTTP 403 on cisa.go
- cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | reliability=HIGH | cat=gov,active-breaking | fetch=bridge | notes: Binding Operational Directives and Emergency Directives — high-priority defender signal. WebFetch HTTP 403 (re-confirmed 2026-05-08). REQUIRED: `python3 tools/f
- cisa-news | CISA News | https://www.cisa.gov/news-events/news | reliability=HIGH | cat=gov,news | fetch=bridge | notes: CISA news index — broader announcements beyond formal advisories. WebFetch is reliably HTTP 403 on cisa.gov (re-confirmed 2026-05-08). REQUIRED FETCH METHOD: `p
- citizen-lab | Citizen Lab | https://citizenlab.ca/category/research/ | reliability=HIGH | cat=research,gov | fetch=webfetch | notes: University of Toronto; mercenary spyware and civil-society targeting research.
- cnil-fr | CNIL France | https://www.cnil.fr/en/news | reliability=HIGH | cat=breaches,ch-eu | fetch=webfetch | notes: French data-protection authority. /en (homepage) carries general announcements and is rarely useful for breach/enforcement coverage; /en/news lists actual press
