url	status	note
https://mysites.guru/blog/sp-page-builder-sql-injection-mail-relay-disclosure/	200	2026-08-02T13:22:09Z
https://mysites.guru/blog/jce-2-9-99-10-security-update/	200	2026-08-02T13:22:09Z
https://www.zerodayinitiative.com/advisories/ZDI-26-035/	200	webfetch	B3
https://www.vulncheck.com/blog/state-of-exploitation-1h-2026	200	webfetch	B3
https://cveawg.mitre.org/api/cve/CVE-2026-0769	200	webfetch	B3
https://seclists.org/oss-sec/2026/q3/298	200	bridge-url	B3
https://blog.jetbrains.com/teamcity/2026/07/cve-2026-63077/	200	webfetch	B3
https://cveawg.mitre.org/api/cve/CVE-2026-63077	200	webfetch	B3
https://www.levelblue.com/blogs/spiderlabs-blog/legacyhive-hunting-windows-profile-initialization-abuse-through-offline-registry-manipulation	200	webfetch	B3
https://statescoop.com/coordinated-cyberattack-disrupts-water-utilities-in-30-minnesota-communities/	200	webfetch+bridge	B3
https://www.cybersecuritydive.com/news/authorities-investigating-a-coordinated-cyberattack-against-minnesota-water/826427/	200	webfetch	B3
https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-097a	200	bridge-cisa	B3
https://securelist.com/mirage-kitten-new-tools/120811/	200	webfetch+bridge	B3
https://www.sophos.com/en-us/blog/chaos-in-teams-vishing	200	webfetch	B3
https://blog.talosintelligence.com/ir-trends-q2-2026/	200	webfetch	B3
https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fmc-static-cred-BET3Cjh	200	webfetch	B3
https://discuss.hashicorp.com/t/hcsec-2026-23-multiple-vulnerabilities-impacting-hashicorp-terraform-mcp-server/77606	200	webfetch	B3
https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017	200	webfetch	B3
https://discuss.rubyonrails.org/t/cve-2026-66066-possible-arbitrary-file-read-and-remote-code-execution-in-active-storage-variant-processing/91432	200	webfetch+bridge	B3
https://lavahq.io/research/bmc-exposure-alert	200	webfetch	B3
https://noma.security/blog/rufroot-the-mcp-bridge-vulnerability-that-turns-agents-into-rogue-admins-cve-2026-59726/	200	webfetch	B3
https://mysites.guru/blog/gridbox-23-critical-vulnerabilities/	200	webfetch	B3
https://www.huntress.com/blog/sonicwall-credential-stuffing-campaign	200	webfetch	B3
https://github.com/ruvnet/ruflo/security/advisories/GHSA-c4hm-4h84-2cf3	200	webfetch	B3
https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals	200	webfetch	B3
https://wid.cert-bund.de/portal/wid/securityadvisory?name=WID-SEC-2026-2551	200-jsshell	webfetch	B3
https://aws.amazon.com/blogs/security/amazon-identifies-north-korean-hacker-group-behind-open-source-supply-chain-attacks/	503	webfetch	B3
https://openai.com/index/hugging-face-model-evaluation-security-incident/	403	webfetch	B3
https://www.huntress.com/blog/fakeagent-claude-desktop-malvertising-ends-in-dotnet-rat	200	2026-08-02T13:23:53Z
https://mysites.guru/blog/gridbox-critical-authentication-bypass/	200	2026-08-02T13:23:53Z
https://mysites.guru/blog/easystore-security-disclosure/	200	2026-08-02T13:23:53Z
https://mysites.guru/blog/events-booking-invoice-idor/	200	2026-08-02T13:23:53Z
https://mysites.guru/blog/membership-pro-unauthenticated-file-upload/	200	2026-08-02T13:23:53Z
https://psnews.ro/raport-dnsc-dupa-incidentul-de-securitate-de-la-ancpi-cum-au-fost-compromise-aplicatiile-critice-ale-statului/	200	2026-08-02T13:23:53Z
https://www.go4it.ro/securitate-informatica/raport-dnsc-dupa-atacul-cibernetic-la-cadastru-vulnerabilitati-vechi-si-lipsa-antivirusului-pe-servere-au-expus-datele-a-doua-milioane-de-utilizatori-19280189/	200	2026-08-02T13:23:53Z
https://www.go4it.ro/securitate-informatica/seful-dnsc-despre-atacul-cibernetic-de-la-cadastru-putea-fi-prevenit-hackerii-au-exploatat-vulnerabilitati-deja-cunoscute-19279543/	200	2026-08-02T13:23:53Z
