bleepingcomputer | BleepingComputer | https://www.bleepingcomputer.com/news/security/ | [news,breaches] | MEDIUM | webfetch
cisa-news | CISA News | https://www.cisa.gov/news-events/news | [gov,news] | HIGH | bridge
cnil-fr | CNIL France | https://www.cnil.fr/en/news | [breaches,ch-eu] | HIGH | webfetch
cyberscoop | CyberScoop | https://cyberscoop.com/ | [news] | HIGH | webfetch
darkreading | Dark Reading (RSS) | https://www.darkreading.com/rss.xml | [news] | MEDIUM | rss
databreaches-net | DataBreaches.net | https://databreaches.net/ | [breaches] | HIGH | bridge
edpb | European Data Protection Board | https://www.edpb.europa.eu/news/news_en | [breaches,ch-eu] | HIGH | webfetch
hackernews | The Hacker News (RSS) | https://feeds.feedburner.com/TheHackersNews | [news] | MEDIUM | rss
heise-sec | heise Security | https://www.heise.de/security/ | [ch-eu,news] | HIGH | webfetch
helpnetsecurity | Help Net Security | https://www.helpnetsecurity.com/ | [news] | MEDIUM | webfetch
ico-uk | UK ICO breach notifications | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/ | [breaches,ch-eu] | HIGH | bridge
infosec-magazine | Infosecurity Magazine (RSS) | https://www.infosecurity-magazine.com/rss/news/ | [news] | MEDIUM | rss
inside-it-ch | Inside IT Switzerland | https://www.inside-it.ch/ | [ch-eu,news] | HIGH | bridge
krebs | Krebs on Security | https://krebsonsecurity.com/ | [news] | HIGH | webfetch
le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | [ch-eu,news] | HIGH | webfetch
malwarebytes | Malwarebytes Labs | https://www.malwarebytes.com/blog | [news,research] | HIGH | webfetch
risky-biz-news | Risky Biz News (Newsletter / Catalin Cimpanu) | https://news.risky.biz/rss/ | [news] | HIGH | rss
sans-isc | SANS Internet Storm Center | https://isc.sans.edu/diaryarchive.html | [research,news] | HIGH | webfetch
sans-newsbites | SANS NewsBites | https://www.sans.org/newsletters/newsbites/ | [news] | HIGH | webfetch
schneier | Schneier on Security | https://www.schneier.com/blog/ | [news] | HIGH | webfetch
sec-disclosures-edgar | SEC EDGAR (8-K cyber filings) | https://efts.sec.gov/LATEST/search-index?q=%22Item+1.05%22&forms=8-K | [breaches] | HIGH | webfetch
securityaffairs | Security Affairs | https://securityaffairs.com/ | [news] | MEDIUM | webfetch
securityweek | SecurityWeek | https://www.securityweek.com/ | [news] | MEDIUM | webfetch
therecord | The Record (Recorded Future News) | https://therecord.media/ | [news] | HIGH | webfetch
troyhunt | Troy Hunt — Have I Been Pwned | https://www.troyhunt.com/ | [news,breaches] | HIGH | webfetch
