- bleepingcomputer | BleepingComputer | https://www.bleepingcomputer.com/news/security/ | reliability=MEDIUM | cat=news,breaches | fetch=webfetch | notes: Strong on breaking incidents; occasionally rushes early reports — corroborate. The /tag/data-breach/ archive page lags by several days — prefer the security ind
- cisa-news | CISA News | https://www.cisa.gov/news-events/news | reliability=HIGH | cat=gov,news | fetch=bridge | notes: CISA news index — broader announcements beyond formal advisories. WebFetch is reliably HTTP 403 on cisa.gov (re-confirmed 2026-05-08). REQUIRED FETCH METHOD: `p
- cnil-fr | CNIL France | https://www.cnil.fr/en/news | reliability=HIGH | cat=breaches,ch-eu | fetch=webfetch | notes: French data-protection authority. /en (homepage) carries general announcements and is rarely useful for breach/enforcement coverage; /en/news lists actual press
- cyberscoop | CyberScoop | https://cyberscoop.com/ | reliability=HIGH | cat=news | fetch=webfetch | notes: US-centric cybersecurity policy and incident reporting. Homepage 'The Latest' section lists titles WITHOUT publication dates surfacing in WebFetch — drill into 
- darkreading | Dark Reading (RSS) | https://www.darkreading.com/rss.xml | reliability=MEDIUM | cat=news | fetch=rss | notes: Mixed quality; verify before use. URL UPDATED 2026-05-08: HTML root https://www.darkreading.com/ returns HTTP 403 to WebFetch — switched to RSS feed which serve
- databreaches-net | DataBreaches.net | https://databreaches.net/ | reliability=HIGH | cat=breaches | fetch=bridge | notes: Long-running independent breach tracker run by Dissent Doe; primary aggregator for breach disclosures (often the first to publish state AG breach-notification f
- edpb | European Data Protection Board | https://www.edpb.europa.eu/news/news_en | reliability=HIGH | cat=breaches,ch-eu | fetch=webfetch | notes: EU-wide data-protection coordination and major breach commentary. The /news/news_en feed is dominated by institutional announcements — material breach/enforceme
- hackernews | The Hacker News (RSS) | https://feeds.feedburner.com/TheHackersNews | reliability=MEDIUM | cat=news | fetch=rss | notes: High-volume aggregator; good early-warning for breaking incidents (added 2026-05-08). Discovery — always trace to primary source before citing. RSS at FeedBurne
- heise-sec | heise Security | https://www.heise.de/security/ | reliability=HIGH | cat=ch-eu,news | fetch=webfetch | notes: German tech press, strong technical reporting (translate findings to English in brief). heise often relays primary German-language reporting from Der Spiegel / 
- helpnetsecurity | Help Net Security | https://www.helpnetsecurity.com/ | reliability=MEDIUM | cat=news | fetch=webfetch | notes: Tech press; useful for vendor reports and patch summaries.
- ico-uk | UK ICO breach notifications | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/ | reliability=HIGH | cat=breaches,ch-eu | fetch=bridge | notes: Information Commissioner's Office breach announcements. WebFetch returns HTTP 403 (ICO filters the routine UA; re-confirmed 2026-05-08). REQUIRED FETCH METHOD: 
- infosec-magazine | Infosecurity Magazine (RSS) | https://www.infosecurity-magazine.com/rss/news/ | reliability=MEDIUM | cat=news | fetch=rss | notes: Industry news (added 2026-05-08). Feed returned 5 dated items 2026-05-07/08.
- inside-it-ch | Inside IT Switzerland | https://www.inside-it.ch/ | reliability=HIGH | cat=ch-eu,news | fetch=bridge | notes: Swiss IT trade press; primary reporting on Swiss incidents (translate findings to English in brief). WebFetch returns HTTP 403 (re-confirmed 2026-05-08); the RS
- krebs | Krebs on Security | https://krebsonsecurity.com/ | reliability=HIGH | cat=news | fetch=webfetch | notes: Investigative cybersecurity journalism. RSS at https://krebsonsecurity.com/feed/. (v2.55: rss_url verified — use `python3 tools/fetch_source.py feed https://kre
- le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | reliability=HIGH | cat=ch-eu,news | fetch=webfetch | notes: French IT trade press (translate findings to English in brief).
- malwarebytes | Malwarebytes Labs | https://www.malwarebytes.com/blog | reliability=HIGH | cat=news,research | fetch=webfetch | notes: Malwarebytes research and consumer-facing reporting. RSS at https://www.malwarebytes.com/blog/feed.
- risky-biz-news | Risky Biz News (Newsletter / Catalin Cimpanu) | https://news.risky.biz/rss/ | reliability=HIGH | cat=news | fetch=rss | notes: Catalin Cimpanu's daily cybersecurity newsletter — strong signal-to-noise (added 2026-05-08). Often surfaces stories ahead of major outlets. RSS feed verified 2
- sans-isc | SANS Internet Storm Center | https://isc.sans.edu/diaryarchive.html | reliability=HIGH | cat=research,news | fetch=webfetch | notes: Daily diaries by handler community; strong technical signal. (v2.55: rss_url verified — use `python3 tools/fetch_source.py feed https://isc.sans.edu/rssfeed.xml
- sans-newsbites | SANS NewsBites | https://www.sans.org/newsletters/newsbites/ | reliability=HIGH | cat=news | fetch=webfetch | notes: SANS NewsBites — bi-weekly editorial newsletter. NO RSS. Recipe: `url https://www.sans.org/newsletters/newsbites/` to discover /newsletters/newsbites/<roman>-<n
