- akamai-sirt | Akamai Security Intelligence Group | https://feeds.feedburner.com/akamai/blog | reliability=HIGH | cat=research | fetch=rss | notes: Akamai SIRT/SIG; strong DDoS and web-attack telemetry. URL UPDATED 2026-05-08: /blog/security-research returns only navigation/footer to WebFetch — the FeedBurn
- bleepingcomputer | BleepingComputer | https://www.bleepingcomputer.com/news/security/ | reliability=MEDIUM | cat=news,breaches | fetch=webfetch | notes: Strong on breaking incidents; occasionally rushes early reports — corroborate. The /tag/data-breach/ archive page lags by several days — prefer the security ind
- checkpoint-research | Check Point Research | https://research.checkpoint.com/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Check Point Research blog. RSS at https://research.checkpoint.com/feed/. Includes weekly Threat Intelligence Report; useful for the 'Updates' section of weekly 
- cisa-news | CISA News | https://www.cisa.gov/news-events/news | reliability=HIGH | cat=gov,news | fetch=bridge | notes: CISA news index — broader announcements beyond formal advisories. WebFetch is reliably HTTP 403 on cisa.gov (re-confirmed 2026-05-08). REQUIRED FETCH METHOD: `p
- citizen-lab | Citizen Lab | https://citizenlab.ca/category/research/ | reliability=HIGH | cat=research,gov | fetch=webfetch | notes: University of Toronto; mercenary spyware and civil-society targeting research.
- cloudflare-cf1 | Cloudflare Cloudforce One | https://blog.cloudflare.com/tag/cloudforce-one/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Cloudflare's threat intelligence unit; large-scale internet telemetry. Cadence sparse. 2026-05-08 audit: WebFetch returned 5 dated CF1 articles Aug 2025 - Mar 2
- compass-security | Compass Security Blog | https://blog.compass-security.com/ | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss security firm, technical research blog. Cadence ~weekly. RSS at https://blog.compass-security.com/feed/ if WebFetch ever degrades. (v2.55: rss_url verifie
- crowdstrike | CrowdStrike Threat Research | https://www.crowdstrike.com/blog/category/counter-adversary-operations/ | reliability=HIGH | cat=gov,research | fetch=webfetch | notes: Falcon Counter Adversary Operations / Falcon Intelligence threat reporting. URL CORRECTED 2026-05-08: legacy /blog/category/threat-intel-research/ now 301-redir
- cyberscoop | CyberScoop | https://cyberscoop.com/ | reliability=HIGH | cat=news | fetch=webfetch | notes: US-centric cybersecurity policy and incident reporting. Homepage 'The Latest' section lists titles WITHOUT publication dates surfacing in WebFetch — drill into 
- darkreading | Dark Reading (RSS) | https://www.darkreading.com/rss.xml | reliability=MEDIUM | cat=news | fetch=rss | notes: Mixed quality; verify before use. URL UPDATED 2026-05-08: HTML root https://www.darkreading.com/ returns HTTP 403 to WebFetch — switched to RSS feed which serve
- dfirreport | The DFIR Report | https://thedfirreport.com/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Real-world intrusion case studies. RSS at https://thedfirreport.com/feed/ also works. 2026-05-08 audit: 5 dated articles Sep 2025 - Apr 22 2026. (v2.55: rss_url
- dragos | Dragos | https://www.dragos.com/blog/ | reliability=HIGH | cat=ot-ics,research | fetch=webfetch | notes: OT/ICS specialist; annual OT Cybersecurity Year in Review; OT-specific actor tracking. Has previously returned 'certificate is not yet valid' — if WebFetch fail
- elastic-seclabs | Elastic Security Labs | https://www.elastic.co/security-labs | reliability=HIGH | cat=research | fetch=webfetch | notes: Elastic Security research. 2026-05-08 audit: 5 dated articles 5-8 May 2026 (TCLBANKER, Traefik, AI hunting).
- eset | ESET WeLiveSecurity | https://www.welivesecurity.com/en/ | reliability=HIGH | cat=research | fetch=webfetch | notes: ESET research blog; particularly strong on European APT activity. RSS at https://www.welivesecurity.com/en/rss/feed/ mirrors the listing. 2026-05-08 audit: 5 da
- google-tag | Google Threat Analysis Group (TAG) | https://blog.google/threat-analysis-group/ | reliability=HIGH | cat=research,gov | fetch=rss | notes: Google Threat Analysis Group — distinct from GTIG (Mandiant). Tracks state-aligned actors, commercial spyware vendors, election interference. Added 2026-05-08. 
- greynoise | GreyNoise Labs | https://www.greynoise.io/blog | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Mass-scanning and opportunistic-exploitation telemetry.
- hackernews | The Hacker News (RSS) | https://feeds.feedburner.com/TheHackersNews | reliability=MEDIUM | cat=news | fetch=rss | notes: High-volume aggregator; good early-warning for breaking incidents (added 2026-05-08). Discovery — always trace to primary source before citing. RSS at FeedBurne
- heise-sec | heise Security | https://www.heise.de/security/ | reliability=HIGH | cat=ch-eu,news | fetch=webfetch | notes: German tech press, strong technical reporting (translate findings to English in brief). heise often relays primary German-language reporting from Der Spiegel / 
- helpnetsecurity | Help Net Security | https://www.helpnetsecurity.com/ | reliability=MEDIUM | cat=news | fetch=webfetch | notes: Tech press; useful for vendor reports and patch summaries.
- huntress | Huntress Labs | https://www.huntress.com/blog | reliability=HIGH | cat=research | fetch=webfetch | notes: Huntress IR/EDR; strong on early SMB-targeting waves. The /blog landing renders only a partial article list with inconsistent date display via the routine fetch
- ibm-xforce | IBM X-Force | https://www.ibm.com/think/x-force | reliability=MEDIUM | cat=research,gov | fetch=webfetch | notes: IBM X-Force Threat Intelligence; annual X-Force Threat Index. URL CORRECTED 2026-05-08: legacy securityintelligence.com 301-redirects to www.ibm.com/think/secur
- infoguard-ch | InfoGuard | https://www.infoguard.ch/en/blog | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss cyber security firm; CSIRT/IR/threat-intel blog and InfoGuard Labs. 2026-05-08 audit: WebFetch returned 5 dated articles latest 2026-05-04 on Linux malwar
