akamai-sirt | Akamai Security Intelligence Group | https://feeds.feedburner.com/akamai/blog | [research] | HIGH | rss
bleepingcomputer | BleepingComputer | https://www.bleepingcomputer.com/news/security/ | [news,breaches] | MEDIUM | webfetch
checkpoint-research | Check Point Research | https://research.checkpoint.com/ | [research] | HIGH | webfetch
cisa-news | CISA News | https://www.cisa.gov/news-events/news | [gov,news] | HIGH | bridge
citizen-lab | Citizen Lab | https://citizenlab.ca/category/research/ | [research,gov] | HIGH | webfetch
cloudflare-cf1 | Cloudflare Cloudforce One | https://blog.cloudflare.com/tag/cloudforce-one/ | [research] | HIGH | webfetch
compass-security | Compass Security Blog | https://blog.compass-security.com/ | [ch-eu,research] | HIGH | webfetch
crowdstrike | CrowdStrike Threat Research | https://www.crowdstrike.com/blog/category/counter-adversary-operations/ | [gov,research] | HIGH | webfetch
cyberscoop | CyberScoop | https://cyberscoop.com/ | [news] | HIGH | webfetch
darkreading | Dark Reading (RSS) | https://www.darkreading.com/rss.xml | [news] | MEDIUM | rss
dfirreport | The DFIR Report | https://thedfirreport.com/ | [research] | HIGH | webfetch
dragos | Dragos | https://www.dragos.com/blog/ | [ot-ics,research] | HIGH | webfetch
elastic-seclabs | Elastic Security Labs | https://www.elastic.co/security-labs | [research] | HIGH | webfetch
eset | ESET WeLiveSecurity | https://www.welivesecurity.com/en/ | [research] | HIGH | webfetch
google-tag | Google Threat Analysis Group (TAG) | https://blog.google/threat-analysis-group/ | [research,gov] | HIGH | rss
greynoise | GreyNoise Labs | https://www.greynoise.io/blog | [vulns,research] | HIGH | webfetch
hackernews | The Hacker News (RSS) | https://feeds.feedburner.com/TheHackersNews | [news] | MEDIUM | rss
heise-sec | heise Security | https://www.heise.de/security/ | [ch-eu,news] | HIGH | webfetch
helpnetsecurity | Help Net Security | https://www.helpnetsecurity.com/ | [news] | MEDIUM | webfetch
huntress | Huntress Labs | https://www.huntress.com/blog | [research] | HIGH | webfetch
