actor:888-extortion-handle	888	
actor:apt42	APT42	GreenBravo|Charming Kitten|Mint Sandstorm|CALANQUE ION
actor:cyberav3ngers	CyberAv3ngers	
actor:ababil-of-minab-mois-attribution-lacmta-march-2026-700gb-backups-destroyed	Ababil of Minab	
actor:akira	Akira	
actor:bitter	Bitter	TAG-179|Mysterious Elephant|APT-C-08
actor:cavern-manticore	Cavern Manticore	
actor:dragonforce	DragonForce	
actor:embargo	Embargo	
actor:everest-ransomware	Everest	
actor:fox-tempest	Fox Tempest	
actor:gamaredon	Gamaredon	
actor:gentlemen-raas-gentlekiller	Gentlemen RaaS		TOMBSTONE->actor:thegentlemen
actor:greyvibe-russia-nexus-ai-assisted-five-parallel-ukraine-attack	GREYVIBE	
actor:inc-ransom	INC Ransom	INC|INC Ransomware|Lynx
actor:jadepuffer	JADEPUFFER	
actor:kairos-extortion	Kairos	
actor:kimsuky	Kimsuky	Ruby Sleet|APT43|Velvet Chollima
actor:muddywater	MuddyWater	Seedworm
actor:nightmare-eclipse	Nightmare Eclipse	Chaotic Eclipse
actor:oceanlotus	OceanLotus	APT32
actor:oilrig	OilRig	APT34|Helix Kitten|Evasive Serpens|Hazel Sandstorm|SOLAR ION
actor:op-512	OP-512	
actor:qilin	Qilin	Agenda
actor:scarcruft	ScarCruft	APT37|Reaper
actor:screening-serpens-unc1549-smoke-sandstorm-nimbus-manticore-iran-apt	Screening Serpens	UNC1549|Smoke Sandstorm|Nimbus Manticore|Mirage Kitten
actor:secretblizzard	Secret Blizzard	Turla|FSB Centre 16|TURLA RELIC
actor:shinyhunters	ShinyHunters	UNC6240
actor:storm-2949	Storm-2949	
actor:ta4922	TA4922	
actor:teampcp	TeamPCP	
actor:the-syndicate	The Syndicate	
actor:thegentlemen	The Gentlemen	Gentlemen RaaS|Storm-2697|Phantom Mantis
actor:uat-5918	UAT-5918	
actor:uat-7810	UAT-7810	
actor:uat-8302	UAT-8302	
actor:uat-8616	UAT-8616	
actor:unc6671	UNC6671	BlackFile|Redact|Pink|Falcon
actor:unsafe-ransomware	Unsafe	
actor:verdantbamboo	VerdantBamboo	UNC5221|WARP PANDA
actor:webworm-fishmonger-aquatic-panda-eset-echocreep-graphworm-eu	Webworm	FishMonger|Aquatic Panda|SixLittleMonkeys|Space Pirates
actor:worldleaks	World Leaks	Hunters International
campaign:0din-ai-coding-agent-indirect-pi-dns-txt	0DIN coding-agent prompt-injection chain	
campaign:acr-stealer-fake-claude	ACR Stealer fake-Claude distribution	
campaign:agentjacking-mcp-sentry-injection-2026	Agentjacking	
campaign:ai-brand-impersonation-storm3075-foxtempest	AI-brand impersonation malware delivery	
campaign:amazon-ses-bec-2026	Amazon SES BEC abuse	
campaign:apt28-tradecraft-evolution-2026	APT28 tradecraft evolution 2026	
campaign:arystinger-botnet	AryStinger	
campaign:atomic-arch-aur-supply-chain-2026	Atomic Arch	
campaign:b1ack-stash-46m-card-dump-may-2026-third-free-release-wave	B1ack's Stash May 2026 card release	
campaign:bluekit-phaas-browser-in-the-middle	Bluekit PhaaS	
campaign:c0xmo-gafgyt	C0XMO	
campaign:calypso-red-lamassu-showboat-jfmbackdoor-linux-windows-telco	Calypso telco espionage campaign	Red Lamassu|Bronze Medley
campaign:certfr-2026-act-016	CERT-FR CERTFR-2026-ACT-016		TOMBSTONE->report:certfr-2026-act-016
campaign:certfr-2026-avi-0564	CERTFR-2026-AVI-0564		TOMBSTONE->trend:spip-2026-rce-wave
campaign:certfr-2026-avi-0572	CERTFR-2026-AVI-0572		TOMBSTONE->trend:centreon-april-2026-vuln-cluster
campaign:chatgphish-chatgpt-markdown-rendering-flaw-permiso-security	ChatGPhish	
campaign:chinese-language-phaas-otp-relay	Chinese-language PhaaS OTP-relay ecosystem	
