  -- STANDARD (rotation) --
  [C|['en']] sans-newsbites: SANS NewsBites <https://www.sans.org/newsletters/newsbites/> fetch_method=webfetch
  [C|['en']] schneier: Schneier on Security <https://www.schneier.com/blog/> rss=https://www.schneier.com/feed/atom/ fetch_method=rss
  [B|['en']] cyberscoop: CyberScoop <https://cyberscoop.com/> fetch_method=rss
  [C|['en']] darkreading: Dark Reading (RSS) <https://www.darkreading.com/rss.xml> fetch_method=rss
  [C|['fr']] le-monde-info: Le Monde Informatique <https://www.lemondeinformatique.fr/> fetch_method=webfetch
  [B|['en']] therecord: The Record (Recorded Future News) <https://therecord.media/> fetch_method=webfetch
  [B|['en']] troyhunt: Troy Hunt — Have I Been Pwned <https://www.troyhunt.com/> rss=https://feeds.feedburner.com/TroyHunt fetch_method=rss
  [C|['de']] inside-it-ch: Inside IT Switzerland <https://www.inside-it.ch/> rss=https://www.inside-it.ch/rss.xml fetch_method=rss
  [B|['en']] krebs: Krebs on Security <https://krebsonsecurity.com/> rss=https://krebsonsecurity.com/feed/ fetch_method=rss
  [A|['en']] us-treasury-ofac: US Treasury OFAC — Recent Actions <https://ofac.treasury.gov/recent-actions> fetch_method=bridge
  [C|['en']] industrialcyber-co: Industrial Cyber (industrialcyber.co) <https://industrialcyber.co> rss=https://industrialcyber.co/feed/ fetch_method=rss
  [A|['en']] cisa-news: CISA News <https://www.cisa.gov/news-events/news> rss=https://www.cisa.gov/news.xml fetch_method=bridge
